GMGC10.025_807_996.UNKNOWN	GMGC10.95nr_block_0001	(Flq)crpP	(Flq)crpP	argannot	2021-Mar-27	NG_062203:101-298	abricate	abricate 1.0.1	94.44			13	210					+		100.0
GMGC10.011_421_809.UNKNOWN	GMGC10.95nr_block_0002	(Flq)crpP	(Flq)crpP	argannot	2021-Mar-27	NG_062203:101-298	abricate	abricate 1.0.1	98.99			49	246					+		100.0
GMGC10.013_153_847.UNKNOWN	GMGC10.95nr_block_0002	(Gly)VanU	(Gly)VanU	argannot	2021-Mar-27	NG_048466:101-328	abricate	abricate 1.0.1	100.0			1	228					+		100.0
GMGC10.004_451_260.BLAI	GMGC10.95nr_block_0007	(Bla)blaI	(Bla)blaI	argannot	2021-Mar-27	NG_047499:101-481	abricate	abricate 1.0.1	87.41			1	405					+		100.0
GMGC10.008_803_393.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	93.85			1	423					+		100.0
GMGC10.015_937_485.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	90.78			1	423					+		100.0
GMGC10.017_978_399.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA2	(Fcyn)FosA2	argannot	2021-Mar-27	EU487198:217-642	abricate	abricate 1.0.1	87.56			1	402					+		94.37
GMGC10.027_458_315.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	95.03			1	423					+		100.0
GMGC10.027_520_977.COPY	GMGC10.95nr_block_0007	(Bla)mecI	(Bla)mecI	argannot	2021-Mar-27	NG_047956:101-472	abricate	abricate 1.0.1	99.46			1	372					+		100.0
GMGC10.031_619_256.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	93.62			1	423					+		100.0
GMGC10.008_738_752.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	97.72			1	438					+		100.0
GMGC10.008_869_607.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	98.4			1	438					+		100.0
GMGC10.012_462_700.FOSB	GMGC10.95nr_block_0008	(Fcyn)FosA2	(Fcyn)FosA2	argannot	2021-Mar-27	EU487198:217-642	abricate	abricate 1.0.1	90.59			2	426					+		99.77
GMGC10.021_706_398.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	95.66			1	438					+		100.0
GMGC10.022_754_984.AACA7	GMGC10.95nr_block_0008	(AGly)aac6-Ic	(AGly)aac6-Ic	argannot	2021-Mar-27	M94066:1554-1994	abricate	abricate 1.0.1	97.51			1	441					+		100.0
GMGC10.002_282_021.FOSB	GMGC10.95nr_block_0009	(Fcyn)FosA4	(Fcyn)FosA4	argannot	2021-Mar-27	AB908992:1-417	abricate	abricate 1.0.1	100.0			61	477					+		100.0
GMGC10.016_795_782.FOLA	GMGC10.95nr_block_0009	(Tmt)dfrA29	(Tmt)dfrA29	argannot	2021-Mar-27	AM237806:615-1086	abricate	abricate 1.0.1	100.0			1	472					+		100.0
GMGC10.024_792_322.GPT	GMGC10.95nr_block_0009	(Tet)tet(34)	(Tet)tet(34)	argannot	2021-Mar-27	AB061440:306-770	abricate	abricate 1.0.1	83.26			1	465					+		99.78
GMGC10.044_194_730.FOSB	GMGC10.95nr_block_0009	(Fcyn)FosA2	(Fcyn)FosA2	argannot	2021-Mar-27	EU487198:217-642	abricate	abricate 1.0.1	91.78			1	425					+		99.77
GMGC10.017_426_718.UNKNOWN	GMGC10.95nr_block_0010	(Tmt)dfr16	(Tmt)dfr16	argannot	2021-Mar-27	AF077008:115-558	abricate	abricate 1.0.1	99.16			16	489					+		100.0
GMGC10.034_105_239.FOLA	GMGC10.95nr_block_0010	(Tmt)dfrA12	(Tmt)dfrA12	argannot	2021-Mar-27	Z21672:310-807	abricate	abricate 1.0.1	99.8			1	498					+		100.0
GMGC10.001_965_233.UNKNOWN	GMGC10.95nr_block_0011	(AGly)aac3-I	(AGly)aac3-I	argannot	2021-Mar-27	X15852:1250-1783	abricate	abricate 1.0.1	99.06			1	534					+		100.0
GMGC10.027_315_430.COPY	GMGC10.95nr_block_0011	(Bla)blaI	(Bla)blaI	argannot	2021-Mar-27	NG_047499:101-481	abricate	abricate 1.0.1	99.06			222	540					+		83.73
GMGC10.045_851_322.FOSB	GMGC10.95nr_block_0012	(Fcyn)FosB	(Fcyn)FosB	argannot	2021-Mar-27	AHLO01000073:63139-63558	abricate	abricate 1.0.1	99.76			151	570					+		100.0
GMGC10.019_094_448.ARR	GMGC10.95nr_block_0013	(Rif)arr3	(Rif)arr3	argannot	2021-Mar-27	JF806499:1353-1805	abricate	abricate 1.0.1	100.0			175	627					+		100.0
GMGC10.032_080_693.TETR	GMGC10.95nr_block_0013	(Tet)tetR(G)	(Tet)tetR(G)	argannot	2021-Mar-27	S52438:113-745	abricate	abricate 1.0.1	93.27			1	609					+		96.21
GMGC10.046_491_896.VANX	GMGC10.95nr_block_0013	(Gly)vanX-D	(Gly)vanX-D	argannot	2021-Mar-27	AB242319:5046-5654	abricate	abricate 1.0.1	91.46			1	609					+		100.0
GMGC10.004_935_650.QNR	GMGC10.95nr_block_0014	(Flq)qnrA7	(Flq)qnrA7	argannot	2021-Mar-27	GQ463707:1-657	abricate	abricate 1.0.1	99.39			1	657					+		100.0
GMGC10.008_697_088.QNR	GMGC10.95nr_block_0014	(Flq)qnrB37	(Flq)qnrB37	argannot	2021-Mar-27	JN173059:36-680	abricate	abricate 1.0.1	97.05			4	648					+		100.0
GMGC10.009_246_115.QNR	GMGC10.95nr_block_0014	(Flq)qnrD	(Flq)qnrD	argannot	2021-Mar-27	FJ228229:554-1198	abricate	abricate 1.0.1	83.12			6	638					+		98.14
GMGC10.017_125_452.CAT	GMGC10.95nr_block_0014	(Phe)catA2	(Phe)catA2	argannot	2021-Mar-27	X53796:187-903	abricate	abricate 1.0.1	90.34			1	642					+		100.0
GMGC10.018_130_452.AACA7	GMGC10.95nr_block_0014	(AGly)aac6-Iy	(AGly)aac6-Iy	argannot	2021-Mar-27	AF144880:3452-3979	abricate	abricate 1.0.1	97.72			1	438					+		100.0
GMGC10.021_864_444.CAT	GMGC10.95nr_block_0014	(Phe)catA4	(Phe)catA4	argannot	2021-Mar-27	NG_047569:101-754	abricate	abricate 1.0.1	93.36			1	647					+		98.78
GMGC10.022_058_419.TETR	GMGC10.95nr_block_0014	(Tet)tetR	(Tet)tetR	argannot	2021-Mar-27	HF545434:53576-54226	abricate	abricate 1.0.1	92.93			1	642					+		98.62
GMGC10.023_063_812.QNR	GMGC10.95nr_block_0014	(Flq)qnrB38	(Flq)qnrB38	argannot	2021-Mar-27	JN173060:2307-2951	abricate	abricate 1.0.1	99.69			1	645					+		100.0
GMGC10.024_791_524.YISX	GMGC10.95nr_block_0014	(Flq)qnr-S5	(Flq)qnr-S5	argannot	2021-Mar-27	HQ631377:1-657	abricate	abricate 1.0.1	97.26			1	656					+		99.85
GMGC10.002_236_046.TETR	GMGC10.95nr_block_0015	(Tet)tetR	(Tet)tetR	argannot	2021-Mar-27	HF545434:53576-54226	abricate	abricate 1.0.1	90.77			28	601					+		86.79
GMGC10.026_569_308.UNKNOWN	GMGC10.95nr_block_0015	(MLS)vat(E)	(MLS)vat(E)	argannot	2021-Mar-27	AF139725:63-707	abricate	abricate 1.0.1	95.66			1	618					+		95.81
GMGC10.007_258_329.UNKNOWN	GMGC10.95nr_block_0017	(AGly)aadB	(AGly)aadB	argannot	2021-Mar-27	JQ690540:4275-4808	abricate	abricate 1.0.1	100.0			217	750					+		100.0
GMGC10.007_657_999.ERMA	GMGC10.95nr_block_0017	(MLS)erm(G)	(MLS)erm(G)	argannot	2021-Mar-27	M15332:672-1406	abricate	abricate 1.0.1	80.44			1	731					+		99.46
GMGC10.019_639_172.CPHA	GMGC10.95nr_block_0017	(Bla)cphA4	(Bla)cphA4	argannot	2021-Mar-27	AY227050:131-895	abricate	abricate 1.0.1	96.05			1	758					+		99.08
GMGC10.023_254_505.AADA	GMGC10.95nr_block_0017	(AGly)aad9	(AGly)aad9	argannot	2021-Mar-27	M69221:271-1038	abricate	abricate 1.0.1	100.0			1	753					+		98.05
GMGC10.034_769_657.UNKNOWN	GMGC10.95nr_block_0017	(Bla)blaOXA-61	(Bla)blaOXA-61	argannot	2021-Mar-27	AY587956:123-896	abricate	abricate 1.0.1	89.19			1	729					+		93.54
GMGC10.002_062_288.NEO	GMGC10.95nr_block_0019	(AGly)aphA15	(AGly)aphA15	argannot	2021-Mar-27	Y18050:4758-5552	abricate	abricate 1.0.1	99.5			1	795					+		100.0
GMGC10.002_473_343.UNKNOWN	GMGC10.95nr_block_0019	(Bla)blaOXA-12	(Bla)blaOXA-12	argannot	2021-Mar-27	U10251:181-975	abricate	abricate 1.0.1	93.38			1	786					+		98.87
GMGC10.002_525_975.OXA	GMGC10.95nr_block_0019	(Bla)blaOXA-12	(Bla)blaOXA-12	argannot	2021-Mar-27	U10251:181-975	abricate	abricate 1.0.1	92.96			1	795					+		100.0
